start	end	text
0	12000	九州地方に大雨特別警報発表。 気象庁は土砂災害などに最大級の警戒を呼び掛けています。
13000	21000	いわゆるはかまだ事件めぐる裁判長気価下。 死刑判決を受けていたはかまだ岩尾さんの最新後半で、
21000	26000	検察側が有罪立証する方針を裁判所に示しました。
27000	35000	ロシア軍によるウクライナ進行から500日が経過。 アメリカがウクライナへの強要を表明したクラスター爆弾を巡っては、
36000	44000	名当内でも批判的な意見が上がっています。 財務省が発表したことし5月の刑事終止は、
44000	52000	一丁8,624億円の黒児。黒児は4カ月連続で死刑価格の高等が一副したことなどが要因と見られます。
74000	79000	ディスカッションス、クリエイトなベルフューチャル、 デューファリュースをお見せします。
82000	86000	オーナーライブ、バニーチューフライデイ、 from 3.30 p.m.
87000	89000	キロミの名。
90000	94000	カシン型デュースプロジェット。
95000	98000	オーナーライブ、バニーチューフライデイ、 from 3.30 p.m.
101000	104000	時刻は3時半になりました。 こんにちは、おげえちきです。
105000	106000	こんにちは、南部広瀅です。
107000	109000	おげえちきセッション、今週もよろしくお願いします。
110000	111000	よろしくお願いいたします。
111000	120000	提案があるんですが、夏手当てをくれないか、政府は。
121000	122000	暑さ手当てでしょう。
123000	124000	平等にね。
125000	127000	地域関係ないですかね、モファイアね。
128000	131000	休暇手当てとか、また残業手当てとかあるじゃないですか。
132000	135000	でもこの夏は夏に出勤しているというだけで、
136000	139000	相当な労働量というか消耗するので、
139000	142000	企業がそれに対して対応するということを求めるものも、
143000	145000	これまた必要なんだけど、いけないそういうやれって言われても、
146000	147000	いや、厳しいわってなるじゃないですか。
148000	149000	くれないかねって思いますよね。
150000	154000	これだけの暑さの状況で、あちこちで災害が発生しているということで、
155000	158000	詳しく基礎予報者のざまさんに伺っていきたいと思います。
159000	160000	ざま太子さんお願いします。
161000	164000	今朝発表された大雨特別警報ですね。
165000	166000	朝発表されたんですけれども、
166000	169000	現在もまだ発表中です、継続中ということで、
170000	174000	福岡県の添田町、くるめ市、うき橋、あさくら市、
175000	178000	東方村、やめ市、大板県の中津市と北市に、
179000	182000	大雨特別警報、まだ発表されています。
183000	185000	さらに土砂災害警戒情報が、
186000	189000	福岡県、佐賀県、山口県に発表されていて、
190000	193000	実際に被害が各地で起こっているということなんですが、
193000	196000	土砂災害の危険、今も高い状態となっています。
197000	201000	雨の状態なんですが、まだ極地的に強く降っているところがあって、
202000	205000	下のあたりが結構雨雲がしっかりかかっているんですよね。
206000	208000	まだ特別警報出ている場所になるので、
209000	212000	このあとも夜にかけて、ちょっと警戒が必要になってきそうです。
213000	214000	広い範囲での雨でいうとも、
215000	218000	降ったりやんだりというところが九州は多くなっていまして、
219000	222000	明日の朝にはやむかなということになっていますが、
223000	226000	ちょっと振り始めからの売料がかなり多くなっていますので、
227000	233000	雨がやんだあとも川の様子とか山の様子とかは絶対に見に行かないことと、
234000	238000	安全な場所で過ごすということがまず一つポイントになってくるかなと思います。
239000	241000	現在多め特別警報を発表されていて、
242000	244000	土砂災害警戒情報も出ていますので、
245000	249000	気象庁のホームページなどでよくこういった時に情報を見てくださいねって言うじゃないですか。
249000	254000	監督地方の方は、今は監督地方は直接的な関係はないですけれども、
255000	260000	こういった時には、気象庁のホームページを見るとこういう情報が乗るんだっていうことを見ていただけると、
261000	265000	今後のためにもいいかなと思いますので、結構で真っ黒になっている地域ありますので、
266000	269000	気象庁のホームページで聞くるなども見ていただけたらなと思います。
270000	273000	その監督地方で言うと、今日は気温がかなり上がりました。
273000	280000	東京は36.5度と、今年最も暑い申し込みに始めてなったわけなんですけれども、
281000	285000	全国で一番高くなったのは山梨県の大月で38.7度、
286000	290000	それから土地紀県のサノでも38.3度ということで、
291000	294000	太陽を超えるような危険な暑さになったわけなんですよね。
295000	299000	これだけ気温が高くなると今度待機の状態が不安定になって、
299000	304000	九州の雨とちょっと原因は違うんですが、今、土地紀県や群馬県の北部では、
305000	307000	活発生群もが湧いていて、雷雨になっているところがあります。
308000	312000	今夜遅くにかけては、監督地方を広い範囲で極地的な雷雨の恐れがありますので、
313000	316000	かつまきとか、丘などにも十分に気をつけてください。
317000	320000	ためが続くと今後も抜かるのに可能性もありますもんね。
321000	326000	そうですね。やっぱり夏で暑いからレジャーなども行きたくなったりしますけれども、
326000	329000	そういった時にも十分にお気をつけいただきたいなと思います。
330000	333000	そうですね。その地域のここ一週間の天気がどうだったかなとね、
334000	337000	過去のことも調べることも必要かもしれないですね。
338000	339000	群馬さん、ありがとうございました。
340000	341000	ありがとうございました。
342000	343000	希少予報誌の群馬太陽子さんでした。というわけで、
344000	345000	引き続き希少に警戒を続けてください。
346000	348000	雨が今降っていなかったとしても暑いですし、
349000	351000	雨が止んだとしても作業するにも暑いですからね。
352000	355000	さあ、今日のセッションですけれども、この後デイリーニュースセッションでは、
356000	359000	この九州の大雨について大雨被害が続く、
360000	363000	福岡県狂め市を主催したRKB毎日放送アナウンサーの
364000	366000	本田奈川さんにお話し伺います。
367000	370000	4時30分ごろからの特集メインセッション。
371000	375000	イスラエル軍と過去20年で最大規模の作戦を実施。
376000	379000	イスラエルとパレッチな対立の歴史を紐解く。
379000	383000	ゲストは静岡県立大学国際関係学部講師の山本健介さんです。
384000	388000	では、この後お知らせに続いてデイリーニュースセッションです。
409000	412000	皆さん、カバライキン、誤解していませんか?
413000	415000	クレジットカードにカバライキンはない。
416000	418000	利用が小額だとカバライキンは出ない。
419000	420000	それ、誤解です。
421000	423000	カバライキンが少ないと、手続き費用の方が高くなる。
424000	425000	それも誤解です。
426000	429000	家族や職場に知られる、必ずブラックリストに影響する。
430000	431000	全部誤解です。
432000	435000	また実は、皆さんに身近なクレジットカードにも
436000	437000	カバライキンが発生していました。
437000	441000	現在お手元にカードや書類がなくても手続きできますので、
442000	444000	まずは、カバライキンの無料確認ダイヤルで、
445000	448000	あなたのクレジットカードから現金がいくら戻るのか、
449000	450000	ご確認ください。
451000	456000	お電話は012010101010101010
457000	460000	DBSラジオ
461000	463000	DBSラジオ
464000	465000	は、知らぬ間に歌ってた。
465000	467000	音楽って不思議な力。
468000	470000	あなたの会社のブランディングにサウンドロゴモを作りします。
471000	474000	DBSラジオ
475000	476000	の営業サイトへ
477000	481000	この時間は、毎日新聞社
482000	484000	日本財団の提供でお送りします。
485000	488000	ここからは冊子のニュースをお送りするデイリーニュースセッション。
489000	490000	まずはこちらのニュースからです。
491000	493000	九州地方の大雨、気象庁が最大級の警戒を呼び掛け。
494000	495000	活発化した場合は、
496000	497000	一般的には、
498000	499000	一般的には、
500000	501000	一般的には、
502000	503000	一般的には、
504000	505000	一般的には、
506000	507000	一般的には、
508000	509000	一般的には、
510000	511000	一般的には、
511000	512000	一般的には、
513000	515000	一般的には、
516000	517000	一般的には、
518000	520000	一般的には、
521000	523000	一般的には、
524000	526000	ただ一般的には、
527000	530000	點 Advent.
531000	533000	脚元自然、
534000	536000	圧倒度自然
537000	539000	と混雑している。
539000	546280	呼びかけています 共同通信によりますとこの雨で住宅に土砂が流れ込むなどして
546280	557000	これまでに福岡県で1人が死亡したほか 福岡県で9人佐賀県で3人と連絡が取れなくなっているということです
557000	564320	きょう午前10時までの6時間降水量は福岡県狂め市で316ミリ
564320	570560	添えだまちで281ミリと観測史上サイタを記録しました
570560	575960	それでは九州などでの大雨について被害が続く福岡県狂め市を取材した
575960	582120	RKB毎日放送アナウンサーの本田七河さんに先ほどお話を伺いました
582120	587720	本田さんこんにちは こんにちは 本田さんは現在どちらにいらっしゃるんでしょうか
587720	592440	はい現在狂め市の楽しまる街という場所になります
592440	597800	このあたりは農家だったり住宅街が立ち並んでいる場所です
597800	604400	まず現在の天候はいかがですか はいちょうど1、2分ほど前に大きい雷がなりました
604400	611840	ここ1時間ほどは消防状態だったんですけれども またここ1、2分で振り始むかという印象ですね
611840	615400	なるほど 雨の影響などはいかがでしょうか
615400	624200	はい 今一級河線の地区側という河が近くにありまして その後地流の絵をずっと取材しているところなんですけれども
624200	629600	河の規則には水田だったりビニールハースがあるんですよね
629600	634680	その水田はまったく今イネが見えない状況で
634680	640760	さらにビニールハースも3分の1ぐらいは使っているかなという感じです
640760	647320	このですね 白の下には普段白の下に水は流れていると思うんですけれども
647320	654600	その白と濃度とビニールハース推薦その区別が今まったくつかない状況となっています
654600	659160	広い範囲で減水水が増えている状況だということですか
659160	663760	目の前には減水していまして道路がですね 減水していまして
663760	669840	だいたいこっちあたりまでですね 水が使ってしまっている状況で
669840	673520	今計算しちゃうのが2台いるんですけれども
673520	676680	低いときに人はだいたいもう通行止めになっていて
676680	680960	車の運転もできないような状況 人が入れない状況になっています
680960	685640	なるほど 広い範囲で減水水が増えている状況だということですか
685640	687280	はい そうですね
687280	693640	その地区側というのは今水が増えてしまっていて減水していますし
693640	697320	少しですね 低いときに行きますと道路も監視していたり
697320	701400	家にも水が入ってしまって浸水している状況です
701400	706440	なるほど また本田さんは今日はどういった資材がなさったんでしょうか
706440	710880	今日はですね この先ほどのビニールハースや推薦をですね
710880	715120	経営されている農家の方にお話を伺っていたんですけれども
715120	720280	その農家もですね もう完全に推薦は使ってしまっていまして
720280	725880	さらに農家ビニールハースももう完全に全滅の状態になっているんですよね
725880	728920	お野菜が 大体スマートだったりもう辺屋を
728920	732160	なす野菜を使わせていらっしゃったようなんですけれども
732160	737800	まあそのお野菜もその雨によって全てダメに出していくのとそうです
737800	742520	なるほど 今回の雨では本当に浴衣不明になってるような方も
742520	744520	地域によっていらっしゃいますけれども
744520	749320	本当にこれまで経験したことがないような雨だという話もありましたが
749320	752120	あの交差状況なのについていかがでしょうか
752120	755760	そうですね 先ほどお話を伺った農家の方も
755760	759800	5年前にも一度大きな雨が降っているそうなんですけれども
759800	764440	これよりも多い これまで先ほどおっしゃったのに
764440	767880	経験したことがないぐらいの雨が降っていて
767880	772800	これから引きどうなるか分からない振動率というお話もされていましたし
772800	775640	今あの家が進出しているという方は
775640	777600	どうやって作業すればいいのかも分からないから
777600	781920	今もう完全に何もできない状況になっているというお話もされていました
781920	786200	なるほど 現在避難されているような方もいらっしゃるんですか
786200	792000	このあたりではですねそういうような確認ができていないんですけれども
792000	797600	車椅子では600人以上が今避難しているという話もはいています
797600	801280	なるほど なお今日の気温というのはどうなんでしょうか
801280	807560	はい 虫虫としていて 今雷が鳴りますため雨も引き続き降っています
808520	811560	なるほど となると雨が続いているという状況で
811560	816560	現場の様子なども見に行くなんていうことはとても危険で難しいという状況も続くわけですか
816560	821120	はい そうですね なかなか顔の近くなどには近づかない方がいいと思うんですが
821120	827200	やはり近くの住民の方がですね 気になって見に来られる方もいるんですよね
827200	830120	加減式の方にまで降りている方もいらっしゃるので
830120	833400	そこはちょっと実際に近づかないで普通なと思います
833400	838400	なるほど また他の地域などの被害状況などが入っているんでしょうか
838400	844400	他にも福岡県ですとか あとは福岡県は北九州の方ですも
844400	848400	高下町でも大きな区域の大きい区域についております
848400	852400	なるほど 雨が続いて自慢の緩んでいるような状況もあると思います
852400	855400	こうした点注意点などどうでしょうか
856400	860400	歩いていてもですね 少しずつ自分が気に入っているので
860400	863400	あの 抜かれんでいるんですよね
863400	866400	で 歩かなのも非常に危険ですし
866400	869400	それがどんどん強くなっているので
