start	end	text
0	28000	自国はCになりました キーベスラジオキーステーションに
28000	32000	名も放送でお送りしているご議員1期セッション パースなりくりのお議員1期です
32000	37000	南部ひろみです ここで日が割りコメンテーターの登場です
37000	41000	今夜の担当 サッカーライターの鈴木みのりさんです
41000	44000	よろしくお願いします よろしくお願いします
44000	49000	鈴木みのりさんは ジェンダーやセクシャリティの視点 フェミニューズム
49000	55000	クイア理論への関心から 小説 映画 芸術などについて失筆
55000	59000	月間文芸史 スバルにも小説を寄行されています
59000	69000	近所にはテレビは見ないと言うけれど 社会 体 私について フェミニューズムと考える本があります
69000	74000	最近では フェミニューズムを身近なテーマから考えるマガジン
74000	82000	エトセトラの第8号で アイドルの表彰 労働 消費について失筆され話題となりました
82000	86000	鈴木みのりさん めのりさんは本当に広いテーマで いろいろ書かれていますけれども
86000	90000	最近はどんな取材やどんなテーマに 取り組んでいらっしゃるんですか
90000	96000	取材はそうです 自分が生きていくための連載を 最近始めたんですけど
96000	99000	生きていくための連載 身安というメディアで
99000	102000	どうやって生きていってかがちょっと わからなさすぎて
102000	109000	お金のこととか生活のこととか いろんな自分が関心をある人に話を聞きに行こうという連載が
109000	116000	ちょうど始まったということで 今年1年も結構そういうことを考えてました
116000	119000	鈴木みのりさん 聞きに行く相手というのは どういうふうに選ぶんですか
119000	123000	鈴木みのりさん なんか思いついた人をまずパパパっとあげて
123000	128000	編集の方と相談していくという感じなんですけど
128000	134000	1回目はノマチミネコさんの話をしに行ったのは
134000	140000	現行でも書いたんですけど 自分が自分に近い人で
140000	145000	かつフリーランスで文章を書いてる人っていうのが他にいない
145000	148000	ある面ではですけど 近いっていうのは
148000	158000	そういうふうに生活されてるのかなとか そういうことが気になってノマチさんをお声分けしたり
158000	166000	あとは今度まだ結構できてないんですけど 異住した方日本から別の国に異住した方に
166000	170000	話を聞きに行ったりだと ちょっとそういう感じで自分が
170000	174000	どういうふうに生きていくかっていうことと 自分はこっちに行った方じゃないかみたいなことと
174000	180000	重なる部分がある人に話を聞きに行こうかなっていう感じで
180000	183000	鈴木みのりさん 人生のいろんな道がどういったところにつながっているのか
183000	185000	鈴木みのりさん その先を言ってるように見える人に
185000	189000	ちょっと参考として 聞かせてくださいっていうのが大事ですね
189000	194000	そうですね 特に今回この後フロントラインセッションでお話しする話とも
194000	201000	通じるんですけど 数の上でも社会的な立場とか属性においても
201000	209000	弱いというか少ないし声が小さい属性の一部を私も持っているので
209000	215000	そういう面でなかなかこうちょっと ロールモデルが見つけにくいってところがあるので
215000	220000	それでまあちょっとそも ここはちょっと近いかも
220000	226000	押せしてるかもみたいな人にとにかく聞いてっていうのを
226000	228000	なんか今ちょっと書いたりとかしてます
228000	231000	鈴木みのりさん 確かにロールモデルってよく言われますけれども
231000	234000	要はああいうふうに生きていけるんだって思えるっていう
234000	235000	この実感がすごく大切ですね
235000	238000	鈴木みのりさん そうですね
238000	242000	ニューヨークにも6月に行ってたんですけど
242000	246000	その一環でニューヨークに1ヶ月間行きまして
246000	251000	その時も書き方がちょっともうわからなさすぎって自分
251000	254000	どういうふうに書けばいいんだろうとはわからなくて
254000	257000	小説も書いてるっていうお話からも通じるんですけど
257000	260000	小説ってやっぱそこが難しくて
260000	263000	なんかそのね ジャーナリズムとしても
263000	267000	情報を書いていけば成立するものでもないので
267000	271000	なんかそういう表現でそこに自分が可能性があると
271000	274000	感じてやってる部分もあるので
274000	277000	そのマイノリティの生き方とか存在を
277000	281000	どうやって描き出すかっていうことの視点から
281000	285000	アメリカではどういう異図並みがあるだろうとか
285000	287000	どういうコミュニティがあるだろうみたいなことを
287000	291000	ちょっと知りたくてあのニューヨークに行ってたっていうのがあって
291000	293000	鈴木みのりさん 前に行かれた時にはねまた現地から
293000	295000	リポートもいただきましたけれども
295000	298000	また今回も報告楽しみにしております
298000	302000	では今日は鈴木みのりさんとニュース振り返っていきたいと思います
305000	308000	アメリカを訪問中の岸田総理は16日
308000	312000	中国の習近平国家指摘とサンフランシスコで
312000	316000	およそ1時間に及ぶ会談を行いました
316000	320000	両首農は共通の課題で協力を目指す
320000	325000	戦略的合計関係の推進を再確認
325000	329000	岸田総理は東京電力福島第一原発の
329000	333000	アルプス処理水海洋放出を受けた
333000	336000	日本産水産物の輸入禁止措置を
336000	340000	即時に撤廃することなどを求めました
343000	347000	大規模な国立大学法人に運営方針を決める
347000	351000	合議帯の設置を義務付ける国立大学法人法改正案が
