start	end	text
0	9200	11月17日金曜日時刻は10時になりました こんばんはライターの竹田査鉄です
9200	22800	あの先週の金曜日にこの放送を終えましてですね翌日の土曜日の午前中の飛行機に乗ってマレーシアの クラクアラルンプールまで行ってきたんですけれどもね特にどうしても行ってみたいっていう場所でもなかったんですが
22800	30600	何で言ったかというとですねあの数か月前に新宿の初代に住んでる長年の友人のゆう子さんという友人にですね
30600	39040	久しぶりに会いたいなと思って昼ご飯でも食べようよというメッセージを送ったればあの来週の水曜日ぐらいにここに集合でどうかしらという感じで
39040	45840	メッセージが帰ってきて水曜日かな大丈夫そうだなと思って返そうと思った後にあの指定の地図をよく見たら
45840	53040	あのクアラルンプール国際空港だったんですねその時点で知らぬ間にマレーシアに移住してたってことを知ったんですけど
53040	61960	あの友人が決して多いとは言えない僕にとってはですねこのゆう子さんともう一人住んでさんっていう同い年の友人はなかなか大きな存在でしてね
61960	70800	彼これも20年以上の付き合いで学生時代に同人種みたいなのを作ってた頃からの中で20代の前半の時にこの2人が
70800	76480	西新宿に一緒に住んでてですねあのこの2人によくあってあれやこれやと話していた中で
76480	82920	スミレさんはこの竹田査鉄の査鉄というペンネームを考えてくれた人なんですけどこのスミレさんは今
82920	89440	シンガポールに住んでまして5年前くらいにあのメールするの面倒だからライン教えてっていうの連絡が来た時に
89440	96800	ラインほとんどやらない僕があの合わずに友達申請するやり方がよくわかんないというに関してはじゃあシンガポール来てっていうに割れてですね
96800	103920	シンガポールまで行ってわざわざラインを交換するってことをやったんでまぁ今回は昼ご飯食べようよと誘ったらこちらなんで
103920	111920	まあマレーシアまで行って昼ご飯食べに行ってきたということなんですけどあの夫婦共通の友人なんでまあ夫婦で行ったんですが
111920	120040	あちらにはの3人の女の子がいましてね多分10歳6歳2歳だったと思いますけど彼女たちと数日間過ごしてきたんですが
120040	128600	最初こそ珍しがってましたけど徐々に彼女たちもこの大男に慣れてきてねあの不意にダッシュして一緒に走ってって言われて
128600	136520	クアラルンプールの川沿い何億もさせられたよねいろいろと奔路されてきましたけれどもちょうどあの頻度教のお正月にあたる
136520	141760	リパバリという別名光の祭典というようですそうですけどもその時期にあたって
141760	148560	まあマレーシアってなさまざまな宗教が入りまじった場所でまあ大雑把に言うとイスラム教が6割仏教2割
148560	157440	キリスト教が1割で頻度教はまあ1割に見たない6%程度ということなんだそうですけどまあつまり頻度教の数は少ないけれどもその
157440	164120	お祝い自体は国全体で受け止めようという感じでまあとにかく町がにぎわってるとでショッピングボールに行くとですね
164120	170520	本当に人がミッシュしていて僕はせっかくだから慣れないことをしようと思ってこうベビーカーを押しながら
170520	176720	あのベビーカーに乗るのに飽きた2歳児の手を引っ張ってですねそのショッピングボールに突っ込んでいったんですけど
176720	184400	レストランフロアにたどり着くのも本当に一苦労で責任持ってこの2歳児見ておかないといけないもう一瞬でも手を離したら迷子になるっていうような
184400	192520	緊張状態でエレベーター待ってた時にあのスマホのぞいたら広白ダース戦の出場箇所発表っていうニュースが出てましてね
192520	198160	明日のカレッチそしてブレッキンナイトのパーソナリティとしてはやっぱり宮間弘氏がどうなったのかってな
198160	204120	一早くチェックしなくちゃいけないともう友達の2歳児ところじゃないということでね彼女の手を離して
204120	211240	宮間弘氏のツイッターをチェックしたらですねまあ宮間弘氏の広白の発表がテキストじゃなくて動画で発表しててね
211240	217720	ただ僕が持ってたあのポケットワイファイの調子がいまいちで動画が始まるまでに結構時間かかってですね
217720	223560	待ってれば流れるかなと思っても流れないとなんだよとこうイライラしてたらまあ近くにいたはずの2歳児がいないと
223560	230240	宮間弘氏の世だってことで振り返ったらまあ少し離れたところにお母さんに抱きついてて人安心だったんですけど
230240	237240	宮間さんも来年からはですねやっぱりクアラルンプールのショッピングモール込む時期にですね動画で発表するのはやめとしいなというには思いましたが
237240	247560	いずれにせいを広白歌わせ9年連続出場ですからねおめでたいことでございます また来年の夏にねこの番組にお越しいただけるのを楽しみにしております
247560	256560	でそのまあゆうこさんの運転する車であっちこちに出かけたんですけどね車の中で騒ぐ子供たちをおとなしくさせる音楽というのが決まっていて
256560	260160	なぜかあの志門まさとさんの泳げ退役くんだったんですね
260160	267040	あの泳げ退役くんが流れるとフルコーラスで歌い始めると当然の出出しの毎日てパノエで焼かれてやんなちゃうと
267040	275160	あの辺で覚えてますけど後半の1日中泳いでたら腹ぺこになるんで指でも空かと食いついたらそれが釣り針で
275160	281600	針が喉から取れないで最後は壊れるっていうこれなかなか残酷な歌だったというのを思い出したんですね
281600	290480	それを子供たちが楽しそうに主張してたんですけど 帰りの飛行機であの今日のゲストのですねエーマストの可能愛子さんのエッセージを読んでたら
290480	303440	可能さんがその団子さん兄弟にハマった時の初めて聞いた時の衝撃っていうのを書かれていて あれもは出出しにのねあの腰に刺さった団子ってのは覚えてるけど後半どうなるかっての忘れてましたけど
303440	310600	どうやらがのとだなで昼寝して寝過ごして朝が来て団子が固くなるっていう歌だった これすっかり忘れてたんですね
310600	322160	なんで泳げ太陽君も団子さん兄弟も後半にこうある残酷さというのを含んでいて なんか子どもっていうのはまあその有子さんファミリーといい可能さんの子ども時代といい
